46,"SERVICIOS","¿Cuenta con seguros contra riesgos patrimoniales (incendio\, responsabilidad civil\, etc.)?","0.04","0","1","2","NO","0",""
47,"SERVICIOS","¿Cuenta con un plan de capacitación a su personal?","0.05","1","1","1","SI","100",""
48,"SERVICIOS","¿Cuenta con un plan de capacitación a su personal?","0.05","0","1","2","NO","0",""
49,"SERVICIOS","¿Su personal cuenta con SCTR vigente en las dos coberturas (salud y pensión)?","0.04","1","1","1","SI","100",""
50,"SERVICIOS","¿Su personal cuenta con SCTR vigente en las dos coberturas (salud y pensión)?","0.04","0","1","2","NO","0",""
51,"SERVICIOS","¿Cuenta con un procedimiento de atención de quejas y reclamos de sus clientes?","0.08","1","1","1","SI","100",""
52,"SERVICIOS","¿Cuenta con un procedimiento de atención de quejas y reclamos de sus clientes?","0.08","0","1","2","NO","0",""
53,"SERVICIOS","¿Cuenta con algún sistema de gestión de calidad?","0.03","1","1","1","SI","100",""
54,"SERVICIOS","¿Cuenta con algún sistema de gestión de calidad?","0.03","0","1","2","NO","0",""
55,"SERVICIOS","¿Cuenta con una política ambiental y/o acciones para el cuidado del medio ambiente?","0.03","1","1","1","SI","100",""
56,"SERVICIOS","¿Cuenta con una política ambiental y/o acciones para el cuidado del medio ambiente?","0.03","0","1","2","NO","0",""
57,"SERVICIOS","¿Terceriza algún proceso (distribución\, almacenamiento\, producción\, etc.)?","0.03","0","1","1","SI","100","En caso marque esta respuesta debe indicar qu‚ proceso(s) terceriza (cuadro de texto)"
58,"SERVICIOS","¿Terceriza algún proceso (distribución\, almacenamiento\, producción\, etc.)?","0.03","0","1","2","NO","0",""
59,"SERVICIOS","¿Los representantes de la empresa tienen algún tipo de relación (hasta el tercer grado de consanguinidad y segundo de afinidad) con los trabajadores de Copeinca S.A. que pueda generar un conflicto de intereses?","0.04","0","1","1","SI","100",""
60,"SERVICIOS","¿Los representantes de la empresa tienen algún tipo de relación (hasta el tercer grado de consanguinidad y segundo de afinidad) con los trabajadores de Copeinca S.A. que pueda generar un conflicto de intereses?","0.04","0","1","2","NO","0",""
61,"SERVICIOS","¿La empresa está reportada en Centrales de Riesgo con deudas no pagadas a la fecha? Adjuntar reporte de sentinel a la fecha","0.2","1","1","1","SI","100",""
62,"SERVICIOS","¿La empresa está reportada en Centrales de Riesgo con deudas no pagadas a la fecha? Adjuntar reporte de sentinel a la fecha","0.2","1","1","2","NO","0",""
