codigoSap,denominacion,nivel,direccion,poblacion,distrito
6864,Plantel EPA07,1,SECTOR LA ARENITA - FUNDO MOCAN S/N,ASCOPE,PAIJAN
6865,Plantel EPA08,1,SECTOR LA ARENITA - FUNDO MOCAN S/N,ASCOPE,PAIJAN
6866,Plantel EPA09,1,PREDIO CARLOS PARCELA 463,ASCOPE,PAIJAN
6867,Plantel EPA10,1,PREDIO ANGEL - SECTOR LA ARENITA PARCELA 480,ASCOPE,PAIJAN
6868,Plantel ES01,1,AV. PANAMERICANA KM 593.2,ASCOPE,CHICAMA
6869,Plantel ES02,1,AV. PANAMERICANA KM 592,ASCOPE,CHICAMA
6870,Plantel ES03,1,AV. PANAMERICANA KM 594.2,ASCOPE,CHICAMA
6871,Plantel ES05,1,PASCONA BAJA - AV. PANAMERICANA KM 599.9,ASCOPE,CHICAMA
6872,Plantel ET01,1,PAMPA EL ALTO SECTOR 3 PALOS NRO S/N,TRUJILLO,HUANCHACO
6873,Plantel ET20,1,CAR. ANTIGUA Nº25 QUIRIHUAC,TRUJILLO,POROTO
6874,Plantel ET21,1,CAR. C. VIEJO C. Nº610 CHIQUITOY,ASCOPE,SANTIAGO DE CAO
6875,Plantel ET22,1,CAR. C. VIEJO C. NÂº610 CHIQUITOY,ASCOPE,SANTIAGO DE CAO
6876,Plantel ET23,1,CAR. C. VIEJO C. Nº610 CHIQUITOY,ASCOPE,SANTIAGO DE CAO
6877,Plantel ET24,1,CAR. C. VIEJO C. Nº610 CHIQUITOY,ASCOPE,SANTIAGO DE CAO
6878,Plantel ET30,1,CAR. BITIN Nº K512 BITIN,VIRU,VIRU
6879,Plantel ET41,1,CAR. C. VIEJO C. Nº 610 CHIQUITOY,ASCOPE,SANTIAGO DE CAO
6880,Plantel ET50,1,CARRETERA INDUSTRIAL KM. 18 CERRO BLANCO,TRUJILLO,POROTO
6881,Plantel ET51,1,CARRETERA INDUSTRIAL KM 25 MENOCUCHO,TRUJILLO,SIMBAL
