codigoSap,descripcion,textoUm
NS,Nanosegundo,NS
OCM,Resistencia eléctrica espec.,OCM
OHM,Ohmio,OHM
OM,Resistencia eléctrica espec.,OM
OZ,Onza,OZ
OZA,Onza líquida EE.UU.,OZA
P,Puntos,P
PA,Pascal,PA
PAK,Bulto,PAK
PAL,Paleta,PAL
PAS,Pascal-segundo,PAS
PCT,Participación en grupo en %,PCT
PMI,1/minuto,PMI
PMR,Grado de permeación SI,PMR
PPB,Partes por billón,PPB
PPM,Parts per million,PPM
PPT,Partes por trillón,PPT
PRM,Grado de permeación,PRM
PRS,Número de personas,PRS
PS,Picosegundo,PS
PT,Pinta EE.UU. líquido,PT
QT,Cuarto galón EE.UU. líquido,QT
RHO,Gramos/Centímetro cúbico,RHO
S,Segundo,S
ST,Pieza,ST
STD,Horas,STD
TAG,Días,TAG
TC3,1/centímetro cúbico,TC3
TES,Tesla,TES
TH,Millar,TH
TM3,1/metro cúbico,TM3
TO,Tonelada,TO
TON,Tonelada EE.UU.,TON
TST,,TST
UGL,Microgramo/Litro,UGL
V,Voltio,V
V%,Porcentaje en volumen,V%
V%O,Volumen por mil,V%O
V01,Microsiemens por centímetro,V01
V02,Millimol por litro,V02
VAL,Artículo de valor,VAL
VPB,Partes de volumen por billón,VPB
VPM,Partes de volumen por millón,VPM
VPT,Partes de volumen por trillón,VPT
W,Vatios,W
WCH,Semanas,WCH
WMK,Conductibilidad del calor,WMK
WTL,Velocidad de evaporación,WTL
YD,Yarda,YD
YD2,Yarda cuadrada,YD2
YD3,Yarda cúbica,YD3
bbl,British Thermal Unit/Barril EU,bbl
bft,British Thermal Unit/PieCúbico,bft
bgl,British Thermal Unit/Galón EU,bgl
btl,British Thermal Unit/Libra EU,btl
gj3,Gigajulio/1000 metros cúbicos,gj3
gjm,Gigajulio/Metro cúbico,gjm
gjt,Gigajulio/Tonelada EE.UU.,gjt
jm3,Julio/Metro cúbico,jm3
kgb,Kilogramo/Barril EE.UU.,kgb
kgj,Kilogramo/Julio,kgj
kgm,Kilogramo/Millones BTU,kgm
kgs,Kilogramo/Pie cúbico estándar,kgs
kgt,Kulogramo/Tonelada EE.UU.,kgt
kml,Kilogramo/Kilogramo mol,kml
lbb,Libra EU/British Thermal Unit,lbb
lbg,Libra EE.UU./Galón EE.UU.,lbg
lbl,Libra EE.UU./Libra EE.UU. mol,lbl
lbm,Libra EE.UU./Millones BTU,lbm
lbs,Libra EU/Pie cúbico estándar,lbs
lbt,Libra EE.UU./Tonelada EE.UU.,lbt
mbb,Millones BTU/Barril EE.UU.,mbb
mbt,Millones BTU/Tonelada EE.UU.,mbt
tbl,Tonelada/Barril EE.UU.,tbl
tbt,Tonelada/British Thermal Unit,tbt
tgl,Tonelada EE.UU./Galón EE.UU.,tgl
tjl,Tonelada/Julio,tjl
tm3,Tonelada/1000 metros cúbicos,tm3
tt,Tonelada/Tonelada,tt
ttj,Tonelada/Terajulio,ttj
AUG,Ausencia en 25 gramos,AUG
BJA,Bandeja,BJA
CTO,Cuarto galón EE.UU. líquido,CTO
JB,Jaba,JB
KMI,Kilos por minuto,KMI
MGO,Megaohmio,MGO
MP,Master Pack,MP
MP2,Master Pack 2,MP2
MQ2,Miliequivalente Oxigeno,MQ2
NMP,Megavoltio,NMP
UF2,unidad formadora colonias/c2,UF2
UF3,unidad formadora colonias/m3,UF3
UFA,unidad formadora colonias/ma,UFA
UFC,unidad formadora de colonias/g,UFC
UFL,UFC /mL,UFL
UFS,unidad formadora colonias/s,UFS
UNI,Unidad costeo CO,UNI
USM,unidad formadora colonias/sm,USM
UNO,Lim.,UNO
CMS,Centímetro/Segundo,CMS
000,Metro/Minuto,000
µL,Microlitro,µL
µF,Microfaradio,µF
PF,Picofaradio,PF
GOH,Gigaohmio,GOH
GM3,Gramo/Metro cúbico,GM3
KD3,Kilogramo/Decímetro cúbico,KD3
KML,Kilomol,KML
KN,Kilonewton,KN
MN,Meganewton,MN
µA,Microamperio,µA
BQL,Becquerel/Kilogramo,BQL
CO,Milifaradio,CO
M/M,Mol por metro cúbico,M/M
M/L,Mol por litro,M/L
NR,Nanoamperio,NR
NF,Nanofaradio,NF
NMM,Newton/Milímetro cuadrado,NMM
DM3,Decímetro cúbico,DM3
CL,Centilitro,CL
S/M,Siemens por metro,S/M
TOM,Tonelada/Metro cúbico,TOM
VA,Voltioamperio,VA
TR,Tambor,TR
C/U,cada uno,C/U
°F,Fahrenheit,°F
PI2,Pie cuadrado,PI2
PI3,Pie cúbico,PI3
°C,Grado centígrado,°C
GPM,Galones por milla (EE.UU),GPM
µGV,Microgramo/Metro cúbico,µGV
GRD,Grande,GRD
GPA,Gramo principio activo,GPA
PUL,Pulgada,PUL
''2,Pulgada cuadrada,''2
''3,Pulgada cúbica,''3
JAB,Jaba,JAB
BID,Bidón,BID
CAR,Cartón,CAR
KBL,Kilobecquerel/Kilogramo,KBL
KGP,Kilogramo principio activo,KGP
CA,Caja,CA
LMI,Litro/Minuto,LMI
UP,Unidad de potencia,UP
LCK,Litro por 100 km,LCK
M-2,1 / Metro cuadrado,M-2
MBT,Metrobaro/Segundo,MBT
MGS,Miligramo/Centímetro cuadrado,MGS
mgk,Miliigramos KOH,mgk
MGV,Miligramo/Metro cúbico,MGV
µM,Micrometro,µM
MLS,Mililitro/Metro cúbico,MLS
MM3,Milímetro cúbico,MM3
MLG,Millas por galón (EEUU),MLG
M3H,Metro cúbico/Hora,M3H
MH,Metro/Hora,MH
N/M,Newton/Metro,N/M
AA,Resistencia eléctrica espec.,AA
OZL,Onza líquida EE.UU.,OZL
BTO,Bulto,BTO
CEB,Participación en grupo en %,CEB
PI,Pieza,PI
DÍA,Días,DÍA
001,,001
UFa,unidad formadora colonias/ma,UFa
UFs,unidad formadora colonias/s,UFs
µGL,Microgramo/Litro,µGL
MSC,Microsiemens por centímetro,MSC
MLF,Millimol por litro,MLF
