descripcion
AGRICULTURA
COMERCIO
CONSTRUCCIÓN
ENERGÍA
FINANCIERO
HOTELES Y RESTAURANTES
INDUSTRIA
MINERÍA
OTRO SECTOR
PETROLEO
SALUD
TODOS LOS SECTORES
TRANSPORTE
